LAST NAME,FIRST NAME,MIDDLE NAME,GENDER,PASSWORD,CONTACT PERSON,CONTACT NUMBER
Brown,Millie,Bobby,Female,Eleven011,Kelly Brown,555-0101
Wolfhard,Finn,,Male,MikeW84,Mary Wolfhard,555-0102
Matarazzo,Gaten,John,Male,DustyBuns84,Heather Matarazzo,555-0103
McLaughlin,Caleb,,Male,LucasM84,Corey McLaughlin,555-0104
Schnapp,Noah,,Male,WillByers84,Karine Schnapp,555-0105
Sink,Sadie,Elizabeth,Female,MaxZoom84,Casey Sink,555-0106
Dyer,Natalia,Danielle,Female,NancyD84,Allen Dyer,555-0107
Heaton,Charlie,,Male,JonathanB84,Michelle Heaton,555-0108
Keery,Joe,,Male,SteveH84,David Keery,555-0109
Hawke,Maya,Ray,Female,RobinB84,Ethan Hawke,555-0110
