LAST NAME,FIRST NAME,MIDDLE NAME,GENDER,PASSWORD,CONTACT PERSON,CONTACT NUMBER
Dela Cruz,Juan,Mercado,Male,pass_juan123,Elena Dela Cruz,0917-123-4567
Santos,Maria,Clara,Female,mclara_2026,Roberto Santos,0918-987-6543
Reyes,Ricardo,Bautista,Male,rick_reyes99,Luzviminda Reyes,0920-555-0192
Bautista,Elena,Sophia,Female,elena_secure!,Marco Bautista,0915-444-3322
Garcia,Antonio,Luis,Male,al_garcia77,Teresa Garcia,0927-888-1122
Mendoza,Isabella,Grace,Female,bella_men05,Ricardo Mendoza,0908-777-9988
Pascual,Fernando,Jose,Male,fernan_pasc,Carmela Pascual,0916-222-3344
Aquino,Corazon,Dizon,Female,cory_aquino88,Benigno Aquino Jr.,0919-333-5566
Villanueva,Gabriel,Marco,Male,gabe_villa1,Lucia Villanueva,0905-111-2233
Ramos,Angela,Faith,Female,faith_angela2,Dominic Ramos,0922-666-7788
