LAST NAME,FIRST NAME,MIDDLE NAME,GENDER,PASSWORD,CONTACT PERSON,CONTACT NUMBER
Flynn,Phineas,T,Male,BestDayEver2026,Linda Flynn-Fletcher,555-0101
Fletcher,Ferb,B,Male,ActionSpeakLouder,Lawrence Fletcher,555-0102
Flynn,Candace,Gertrude,Female,Busted123,Linda Flynn-Fletcher,555-0101
Garcia-Shapiro,Isabella,,Female,WhatchaDoin?,Vivian Garcia-Shapiro,555-0103
Doofenshmirtz,Heinz,,Male,Inator_9000,Vanessa Doofenshmirtz,555-0999
Van Stomm,Buford,,Male,BullyGold,Biff Van Stomm,555-0104
Tjinder,Baljeet,,Male,Grade_A_Plus,Mrs. Tjinder,555-0105
Fletcher,Vanessa,,Female,PunkRock88,Heinz Doofenshmirtz,555-0999
Hirano,Stacy,,Female,ShoppingSpree,Mrs. Hirano,555-0106
Johnson,Jeremy,,Male,GuitarHero,Jack Johnson,555-0107
