LAST NAME,FIRST NAME,MIDDLE NAME,GENDER,PASSWORD,CONTACT PERSON,CONTACT NUMBER
Javier,Mateo,Gabriel,Male,mat_jav2026,Maria Javier,09171234567
Torres,Sofia,Ysabel,Female,sofia_T88,Ricardo Torres,09181234567
Lim,Kenji,Sato,Male,ken_sato!,Yumi Lim,09191234567
Corpuz,Althea,Joy,Female,aj_corpuz22,Elena Corpuz,09201234567
Hernandez,Dominic,Paolo,Male,dom_h_909,Roberto Hernandez,09211234567
Salazar,Beatrice,Anne,Female,bea_sal_pw,Clara Salazar,09221234567
Sy,Nathan,David,Male,nathan_sy1,Wilson Sy,09231234567
Valdez,Cassandra,Leigh,Female,cassie_v_3,Linda Valdez,09241234567
Pineda,Julian,Robert,Male,julian_p_77,Arthur Pineda,09251234567
Gonzales,Monica,Rose,Female,monica_rose9,Susan Gonzales,09261234567
